pid,year_t0,year_t1,telco_t0,telco_t1,churn_any,churn_to_mvno,a03002_tminus1,a03024_tminus1,a03026_tminus1,c01002_tminus1,c01004_tminus1,c02003_tminus1,c02001_tminus1,age1_tminus1,income1_tminus1,job1_tminus1
10001,2020,2021,2.0,2.0,0,0,3.0,1.0,1.0,5.0,3.0,1.0,4.0,53,11,1
10001,2021,2022,2.0,2.0,0,0,3.0,1.0,0.0,4.0,2.0,1.0,4.0,54,10,1
10001,2022,2023,2.0,2.0,0,0,3.0,1.0,0.0,6.0,2.0,1.0,1.0,55,9,1
10002,2020,2021,2.0,2.0,0,0,3.0,0.0,0.0,4.0,1.0,1.0,4.0,48,1,0
10002,2021,2022,2.0,2.0,0,0,3.0,1.0,0.0,4.0,2.0,1.0,4.0,49,1,0
10002,2022,2023,2.0,2.0,0,0,4.0,1.0,1.0,5.0,3.0,1.0,4.0,50,1,0
10002,2023,2024,2.0,2.0,0,0,4.0,1.0,1.0,5.0,1.0,1.0,4.0,51,1,0
10002,2024,2025,2.0,2.0,0,0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,52,1,0
100020001,2020,2021,3.0,3.0,0,0,4.0,0.0,0.0,6.0,2.0,1.0,1.0,40,9,1
100020001,2021,2022,3.0,3.0,0,0,4.0,1.0,0.0,8.0,1.0,1.0,1.0,41,9,1
100020001,2022,2023,3.0,3.0,0,0,4.0,1.0,0.0,6.0,1.0,1.0,1.0,42,9,1
100020001,2023,2024,3.0,3.0,0,0,4.0,1.0,1.0,10.0,1.0,1.0,1.0,43,10,1
100020001,2024,2025,3.0,3.0,0,0,4.0,1.0,0.0,7.0,1.0,1.0,1.0,44,11,1
100020002,2020,2021,2.0,1.0,1,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,38,1,0
100020002,2021,2022,1.0,1.0,0,0,3.0,1.0,0.0,7.0,1.0,0.0,4.0,39,1,0
100020002,2022,2023,1.0,1.0,0,0,3.0,1.0,0.0,6.0,2.0,1.0,4.0,40,1,0
100020002,2023,2024,1.0,1.0,0,0,3.0,1.0,0.0,6.0,1.0,1.0,4.0,41,1,0
100020002,2024,2025,1.0,1.0,0,0,4.0,1.0,1.0,9.0,2.0,1.0,4.0,42,1,0
100020003,2020,2021,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,10,1,0
100020003,2021,2022,3.0,3.0,0,0,3.0,1.0,0.0,3.0,1.0,1.0,4.0,11,1,0
100020003,2022,2023,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,12,1,0
10003,2020,2021,2.0,2.0,0,0,3.0,0.0,1.0,6.0,1.0,1.0,1.0,23,7,1
10003,2021,2022,2.0,2.0,0,0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,24,6,1
10003,2022,2023,2.0,2.0,0,0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,25,7,1
10003,2023,2024,2.0,2.0,0,0,4.0,1.0,1.0,7.0,1.0,1.0,1.0,26,7,1
10003,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,27,6,1
100030001,2020,2021,2.0,2.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,65,5,1
100030001,2021,2022,2.0,2.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,66,5,1
100030001,2022,2023,2.0,2.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,67,5,1
100030001,2023,2024,2.0,2.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,68,5,1
100030001,2024,2025,2.0,2.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,69,5,1
10004,2020,2021,2.0,3.0,1,0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,20,1,0
10004,2021,2022,3.0,2.0,1,0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,21,1,0
10004,2022,2023,2.0,2.0,0,0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,22,1,0
10004,2023,2024,2.0,2.0,0,0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,23,1,0
10004,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,24,6,1
100050001,2020,2021,2.0,3.0,1,0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,41,8,1
100050001,2021,2022,3.0,3.0,0,0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,42,9,1
100050001,2022,2023,3.0,3.0,0,0,4.0,1.0,0.0,6.0,1.0,1.0,1.0,43,9,1
100050001,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,7.0,2.0,1.0,1.0,44,10,1
100050001,2024,2025,3.0,3.0,0,0,4.0,1.0,0.0,7.0,1.0,1.0,1.0,45,11,1
100050002,2020,2021,2.0,3.0,1,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,38,1,0
100050002,2021,2022,3.0,4.0,1,1,4.0,1.0,0.0,5.0,2.0,1.0,4.0,39,1,0
100050002,2022,2023,4.0,3.0,1,0,4.0,1.0,0.0,5.0,1.0,1.0,4.0,40,1,0
100050002,2023,2024,3.0,3.0,0,0,4.0,1.0,0.0,6.0,2.0,1.0,4.0,41,1,0
100050002,2024,2025,3.0,3.0,0,0,4.0,1.0,0.0,5.0,1.0,1.0,4.0,42,1,0
